,Unnamed: 0,Unnamed: 0.1,project_name,module_path,module_version,package_import_path,match_type,file_name,line_number,text,context,message,label
10,10,10,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,292.0,"			cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
","	case ""amd64"":
		// On amd64, stack frame is two words, plus caller PC.
		if framepointer_enabled {
			// In this case, there's also saved BP.
			cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
			break
		}
		cb = (*args)(unsafe.Pointer(sp + 3*sys.PtrSize))
	case ""386"":
		// On 386, stack frame is three words, plus caller PC.
",possible misuse of unsafe.Pointer,runtime
11,11,11,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,295.0,"		cb = (*args)(unsafe.Pointer(sp + 3*sys.PtrSize))
","			// In this case, there's also saved BP.
			cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
			break
		}
		cb = (*args)(unsafe.Pointer(sp + 3*sys.PtrSize))
	case ""386"":
		// On 386, stack frame is three words, plus caller PC.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	case ""ppc64"", ""ppc64le"", ""s390x"":
		// On ppc64 and s390x, the callback arguments are in the arguments area of
",possible misuse of unsafe.Pointer,runtime
12,12,12,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,298.0,"		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
","		}
		cb = (*args)(unsafe.Pointer(sp + 3*sys.PtrSize))
	case ""386"":
		// On 386, stack frame is three words, plus caller PC.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	case ""ppc64"", ""ppc64le"", ""s390x"":
		// On ppc64 and s390x, the callback arguments are in the arguments area of
		// cgocallback's stack frame. The stack looks like this:
		// +--------------------+------------------------------+
		// |                    | ...                          |
",possible misuse of unsafe.Pointer,runtime
13,13,13,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,315.0,"		cb = (*args)(unsafe.Pointer(sp + 2*sys.MinFrameSize + 2*sys.PtrSize))
","		// |                    | local variables (2 pointers) |
		// | cgocallback_gofunc +------------------------------+ <- sp + minFrameSize
		// |                    | fixed frame area             |
		// +--------------------+------------------------------+ <- sp
		cb = (*args)(unsafe.Pointer(sp + 2*sys.MinFrameSize + 2*sys.PtrSize))
	case ""mips64"", ""mips64le"":
		// On mips64x, stack frame is two words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	case ""mips"", ""mipsle"":
",possible misuse of unsafe.Pointer,runtime
14,14,14,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,319.0,"		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
","		cb = (*args)(unsafe.Pointer(sp + 2*sys.MinFrameSize + 2*sys.PtrSize))
	case ""mips64"", ""mips64le"":
		// On mips64x, stack frame is two words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	case ""mips"", ""mipsle"":
		// On mipsx, stack frame is two words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	}
",possible misuse of unsafe.Pointer,runtime
15,15,15,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,323.0,"		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
","		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	case ""mips"", ""mipsle"":
		// On mipsx, stack frame is two words and there's a saved LR between
		// SP and the stack frame and between the stack frame and the arguments.
		cb = (*args)(unsafe.Pointer(sp + 4*sys.PtrSize))
	}

	// Invoke callback.
	// NOTE(rsc): passing nil for argtype means that the copying of the
	// results back into cb.arg happens without any corresponding write barriers.
",possible misuse of unsafe.Pointer,runtime
16,16,16,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,360.0,"			sched.sp = *(*uintptr)(unsafe.Pointer(sched.sp + sys.MinFrameSize))
","		switch GOARCH {
		default:
			throw(""unwindm not implemented"")
		case ""386"", ""amd64"", ""arm"", ""ppc64"", ""ppc64le"", ""mips64"", ""mips64le"", ""s390x"", ""mips"", ""mipsle"":
			sched.sp = *(*uintptr)(unsafe.Pointer(sched.sp + sys.MinFrameSize))
		case ""arm64"":
			sched.sp = *(*uintptr)(unsafe.Pointer(sched.sp + 16))
		}

		// Do the accounting that cgocall will not have a chance to do
",possible misuse of unsafe.Pointer,runtime
17,17,17,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,362.0,"			sched.sp = *(*uintptr)(unsafe.Pointer(sched.sp + 16))
","			throw(""unwindm not implemented"")
		case ""386"", ""amd64"", ""arm"", ""ppc64"", ""ppc64le"", ""mips64"", ""mips64le"", ""s390x"", ""mips"", ""mipsle"":
			sched.sp = *(*uintptr)(unsafe.Pointer(sched.sp + sys.MinFrameSize))
		case ""arm64"":
			sched.sp = *(*uintptr)(unsafe.Pointer(sched.sp + 16))
		}

		// Do the accounting that cgocall will not have a chance to do
		// during an unwind.
		//
",possible misuse of unsafe.Pointer,runtime
18,18,18,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,cgocall.go,612.0,"			if hbits.isPointer() && cgoIsGoPointer(*(*unsafe.Pointer)(unsafe.Pointer(base + i))) {
","			if i != 1*sys.PtrSize && !hbits.morePointers() {
				// No more possible pointers.
				break
			}
			if hbits.isPointer() && cgoIsGoPointer(*(*unsafe.Pointer)(unsafe.Pointer(base + i))) {
				panic(errorString(msg))
			}
			hbits = hbits.next()
		}

",possible misuse of unsafe.Pointer,runtime
19,19,19,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,219.0,"	dumpint(uint64(uintptr(unsafe.Pointer(fn.fn))))
","func dumpfinalizer(obj unsafe.Pointer, fn *funcval, fint *_type, ot *ptrtype) {
	dumpint(tagFinalizer)
	dumpint(uint64(uintptr(obj)))
	dumpint(uint64(uintptr(unsafe.Pointer(fn))))
	dumpint(uint64(uintptr(unsafe.Pointer(fn.fn))))
	dumpint(uint64(uintptr(unsafe.Pointer(fint))))
	dumpint(uint64(uintptr(unsafe.Pointer(ot))))
}

type childInfo struct {
",possible misuse of unsafe.Pointer,runtime
20,20,20,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,275.0,"	dumpmemrange(unsafe.Pointer(s.sp), s.fp-s.sp)      // frame contents
","	dumpint(tagStackFrame)
	dumpint(uint64(s.sp))                              // lowest address in frame
	dumpint(uint64(child.depth))                       // # of frames deep on the stack
	dumpint(uint64(uintptr(unsafe.Pointer(child.sp)))) // sp of child, or 0 if bottom of stack
	dumpmemrange(unsafe.Pointer(s.sp), s.fp-s.sp)      // frame contents
	dumpint(uint64(f.entry))
	dumpint(uint64(s.pc))
	dumpint(uint64(s.continpc))
	name := funcname(f)
	if name == """" {
",possible misuse of unsafe.Pointer,runtime
21,21,21,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,320.0,"	child.sp = (*uint8)(unsafe.Pointer(s.sp))
","
	// Record arg info for parent.
	child.argoff = s.argp - s.fp
	child.arglen = s.arglen
	child.sp = (*uint8)(unsafe.Pointer(s.sp))
	child.depth++
	stkmap = (*stackmap)(funcdata(f, _FUNCDATA_ArgsPointerMaps))
	if stkmap != nil {
		child.args = stackmapdata(stkmap, pcdata)
	} else {
",possible misuse of unsafe.Pointer,runtime
22,22,22,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,378.0,"			dumpint(uint64(uintptr(unsafe.Pointer(d.fn.fn))))
","		if d.fn == nil {
			// d.fn can be nil for open-coded defers
			dumpint(uint64(0))
		} else {
			dumpint(uint64(uintptr(unsafe.Pointer(d.fn.fn))))
		}
		dumpint(uint64(uintptr(unsafe.Pointer(d.link))))
	}
	for p := gp._panic; p != nil; p = p.link {
		dumpint(tagPanic)
",possible misuse of unsafe.Pointer,runtime
23,23,23,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,417.0,"	dumpint(uint64(uintptr(unsafe.Pointer(fn.fn))))
","func finq_callback(fn *funcval, obj unsafe.Pointer, nret uintptr, fint *_type, ot *ptrtype) {
	dumpint(tagQueuedFinalizer)
	dumpint(uint64(uintptr(obj)))
	dumpint(uint64(uintptr(unsafe.Pointer(fn))))
	dumpint(uint64(uintptr(unsafe.Pointer(fn.fn))))
	dumpint(uint64(uintptr(unsafe.Pointer(fint))))
	dumpint(uint64(uintptr(unsafe.Pointer(ot))))
}

func dumproots() {
",possible misuse of unsafe.Pointer,runtime
24,24,24,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,427.0,"	dumpmemrange(unsafe.Pointer(firstmoduledata.data), firstmoduledata.edata-firstmoduledata.data)
","	// TODO(mwhudson): dump datamask etc from all objects
	// data segment
	dumpint(tagData)
	dumpint(uint64(firstmoduledata.data))
	dumpmemrange(unsafe.Pointer(firstmoduledata.data), firstmoduledata.edata-firstmoduledata.data)
	dumpfields(firstmoduledata.gcdatamask)

	// bss segment
	dumpint(tagBSS)
	dumpint(uint64(firstmoduledata.bss))
",possible misuse of unsafe.Pointer,runtime
25,25,25,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,433.0,"	dumpmemrange(unsafe.Pointer(firstmoduledata.bss), firstmoduledata.ebss-firstmoduledata.bss)
","
	// bss segment
	dumpint(tagBSS)
	dumpint(uint64(firstmoduledata.bss))
	dumpmemrange(unsafe.Pointer(firstmoduledata.bss), firstmoduledata.ebss-firstmoduledata.bss)
	dumpfields(firstmoduledata.gcbssmask)

	// mspan.types
	for _, s := range mheap_.allspans {
		if s.state.get() == mSpanInUse {
",possible misuse of unsafe.Pointer,runtime
26,26,26,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,445.0,"				p := unsafe.Pointer(s.base() + uintptr(spf.special.offset))
","				if sp.kind != _KindSpecialFinalizer {
					continue
				}
				spf := (*specialfinalizer)(unsafe.Pointer(sp))
				p := unsafe.Pointer(s.base() + uintptr(spf.special.offset))
				dumpfinalizer(p, spf.fn, spf.fint, spf.ot)
			}
		}
	}

",possible misuse of unsafe.Pointer,runtime
27,27,27,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,heapdump.go,482.0,"			dumpobj(unsafe.Pointer(p), size, makeheapobjbv(p, size))
","			if freemark[j] {
				freemark[j] = false
				continue
			}
			dumpobj(unsafe.Pointer(p), size, makeheapobjbv(p, size))
		}
	}
}

func dumpparams() {
",possible misuse of unsafe.Pointer,runtime
28,28,28,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,debuglog.go,64.0,"		all := (*dlogger)(unsafe.Pointer(atomic.Loaduintptr(allp)))
","	// If we couldn't get a cached logger, try to get one from the
	// global pool.
	if l == nil {
		allp := (*uintptr)(unsafe.Pointer(&allDloggers))
		all := (*dlogger)(unsafe.Pointer(atomic.Loaduintptr(allp)))
		for l1 := all; l1 != nil; l1 = l1.allLink {
			if atomic.Load(&l1.owned) == 0 && atomic.Cas(&l1.owned, 0, 1) {
				l = l1
				break
			}
",possible misuse of unsafe.Pointer,runtime
29,29,29,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,debuglog.go,86.0,"			l.allLink = (*dlogger)(unsafe.Pointer(head))
","		// Prepend to allDloggers list.
		headp := (*uintptr)(unsafe.Pointer(&allDloggers))
		for {
			head := atomic.Loaduintptr(headp)
			l.allLink = (*dlogger)(unsafe.Pointer(head))
			if atomic.Casuintptr(headp, head, uintptr(unsafe.Pointer(l))) {
				break
			}
		}
	}
",possible misuse of unsafe.Pointer,runtime
30,30,30,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,debuglog.go,658.0,"			str: unsafe.Pointer(ptr),
","	case debugLogConstString:
		len, ptr := int(r.uvarint()), uintptr(r.uvarint())
		ptr += firstmoduledata.etext
		str := stringStruct{
			str: unsafe.Pointer(ptr),
			len: len,
		}
		s := *(*string)(unsafe.Pointer(&str))
		print(s)

",possible misuse of unsafe.Pointer,runtime
31,31,31,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,debuglog.go,694.0,"	all := (*dlogger)(unsafe.Pointer(atomic.Loaduintptr(allp)))
","	printlock()

	// Get the list of all debug logs.
	allp := (*uintptr)(unsafe.Pointer(&allDloggers))
	all := (*dlogger)(unsafe.Pointer(atomic.Loaduintptr(allp)))

	// Count the logs.
	n := 0
	for l := all; l != nil; l = l.allLink {
		n++
",possible misuse of unsafe.Pointer,runtime
32,32,32,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mem_linux.go,86.0,"			madvise(unsafe.Pointer(head), 2*physHugePageSize, _MADV_NOHUGEPAGE)
","		// errors.
		if head != 0 && head+physHugePageSize == tail {
			// head and tail are different but adjacent,
			// so do this in one call.
			madvise(unsafe.Pointer(head), 2*physHugePageSize, _MADV_NOHUGEPAGE)
		} else {
			// Advise the huge pages containing v and v+n-1.
			if head != 0 {
				madvise(unsafe.Pointer(head), physHugePageSize, _MADV_NOHUGEPAGE)
			}
",possible misuse of unsafe.Pointer,runtime
33,33,33,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mem_linux.go,90.0,"				madvise(unsafe.Pointer(head), physHugePageSize, _MADV_NOHUGEPAGE)
","			madvise(unsafe.Pointer(head), 2*physHugePageSize, _MADV_NOHUGEPAGE)
		} else {
			// Advise the huge pages containing v and v+n-1.
			if head != 0 {
				madvise(unsafe.Pointer(head), physHugePageSize, _MADV_NOHUGEPAGE)
			}
			if tail != 0 && tail != head {
				madvise(unsafe.Pointer(tail), physHugePageSize, _MADV_NOHUGEPAGE)
			}
		}
",possible misuse of unsafe.Pointer,runtime
34,34,34,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mem_linux.go,93.0,"				madvise(unsafe.Pointer(tail), physHugePageSize, _MADV_NOHUGEPAGE)
","			if head != 0 {
				madvise(unsafe.Pointer(head), physHugePageSize, _MADV_NOHUGEPAGE)
			}
			if tail != 0 && tail != head {
				madvise(unsafe.Pointer(tail), physHugePageSize, _MADV_NOHUGEPAGE)
			}
		}
	}

	if uintptr(v)&(physPageSize-1) != 0 || n&(physPageSize-1) != 0 {
",possible misuse of unsafe.Pointer,runtime
35,35,35,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mem_linux.go,139.0,"			madvise(unsafe.Pointer(beg), end-beg, _MADV_HUGEPAGE)
","		// Round v+n down to a huge page boundary.
		end := alignDown(uintptr(v)+n, physHugePageSize)

		if beg < end {
			madvise(unsafe.Pointer(beg), end-beg, _MADV_HUGEPAGE)
		}
	}
}

// Don't split the stack as this function may be invoked without a valid G,
",possible misuse of unsafe.Pointer,runtime
36,36,36,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mfixalloc.go,84.0,"	v := unsafe.Pointer(f.chunk)
","		f.chunk = uintptr(persistentalloc(_FixAllocChunk, 0, f.stat))
		f.nchunk = _FixAllocChunk
	}

	v := unsafe.Pointer(f.chunk)
	if f.first != nil {
		f.first(f.arg, v)
	}
	f.chunk = f.chunk + f.size
	f.nchunk -= uint32(f.size)
",possible misuse of unsafe.Pointer,runtime
37,37,37,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mcache.go,74.0,"	return (*gclink)(unsafe.Pointer(p))
","// ptr returns the *gclink form of p.
// The result should be used for accessing fields, not stored
// in other data structures.
func (p gclinkptr) ptr() *gclink {
	return (*gclink)(unsafe.Pointer(p))
}

type stackfreelist struct {
	list gclinkptr // linked list of free stacks
	size uintptr   // total size of stacks in list
",possible misuse of unsafe.Pointer,runtime
38,38,38,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,mgcscavenge.go,588.0,"	sysUnused(unsafe.Pointer(addr), uintptr(npages)*pageSize)
","	// It's dangerous to do so otherwise.
	if s.test {
		return
	}
	sysUnused(unsafe.Pointer(addr), uintptr(npages)*pageSize)

	// Update global accounting only when not in test, otherwise
	// the runtime's accounting will be wrong.
	mSysStatInc(&memstats.heap_released, uintptr(npages)*pageSize)
}
",possible misuse of unsafe.Pointer,runtime
39,39,39,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,594.0,"			a, size := sysReserveAligned(unsafe.Pointer(p), arenaSize, heapArenaBytes)
","			256 << 20,
			128 << 20,
		}
		for _, arenaSize := range arenaSizes {
			a, size := sysReserveAligned(unsafe.Pointer(p), arenaSize, heapArenaBytes)
			if a != nil {
				mheap_.arena.init(uintptr(a), size)
				p = uintptr(a) + size // For hint below
				break
			}
",possible misuse of unsafe.Pointer,runtime
40,40,40,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,641.0,"			v = sysReserve(unsafe.Pointer(p), n)
","		} else if arenaIndex(p+n-1) >= 1<<arenaBits {
			// Outside addressable heap. Can't use.
			v = nil
		} else {
			v = sysReserve(unsafe.Pointer(p), n)
		}
		if p == uintptr(v) {
			// Success. Update the hint.
			if !hint.down {
				p += n
",possible misuse of unsafe.Pointer,runtime
41,41,41,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,794.0,"		return unsafe.Pointer(p), size + align
","		return nil, 0
	case p&(align-1) == 0:
		// We got lucky and got an aligned region, so we can
		// use the whole thing.
		return unsafe.Pointer(p), size + align
	case GOOS == ""windows"":
		// On Windows we can't release pieces of a
		// reservation, so we release the whole thing and
		// re-reserve the aligned sub-region. This may race,
		// so we may have to try again.
",possible misuse of unsafe.Pointer,runtime
42,42,42,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,800.0,"		sysFree(unsafe.Pointer(p), size+align, nil)
","		// On Windows we can't release pieces of a
		// reservation, so we release the whole thing and
		// re-reserve the aligned sub-region. This may race,
		// so we may have to try again.
		sysFree(unsafe.Pointer(p), size+align, nil)
		p = alignUp(p, align)
		p2 := sysReserve(unsafe.Pointer(p), size)
		if p != uintptr(p2) {
			// Must have raced. Try again.
			sysFree(p2, size, nil)
",possible misuse of unsafe.Pointer,runtime
43,43,43,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,802.0,"		p2 := sysReserve(unsafe.Pointer(p), size)
","		// re-reserve the aligned sub-region. This may race,
		// so we may have to try again.
		sysFree(unsafe.Pointer(p), size+align, nil)
		p = alignUp(p, align)
		p2 := sysReserve(unsafe.Pointer(p), size)
		if p != uintptr(p2) {
			// Must have raced. Try again.
			sysFree(p2, size, nil)
			if retries++; retries == 100 {
				throw(""failed to allocate aligned heap memory; too many retries"")
",possible misuse of unsafe.Pointer,runtime
44,44,44,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,816.0,"		sysFree(unsafe.Pointer(p), pAligned-p, nil)
","		return p2, size
	default:
		// Trim off the unaligned parts.
		pAligned := alignUp(p, align)
		sysFree(unsafe.Pointer(p), pAligned-p, nil)
		end := pAligned + size
		endLen := (p + size + align) - end
		if endLen > 0 {
			sysFree(unsafe.Pointer(end), endLen, nil)
		}
",possible misuse of unsafe.Pointer,runtime
45,45,45,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,820.0,"			sysFree(unsafe.Pointer(end), endLen, nil)
","		sysFree(unsafe.Pointer(p), pAligned-p, nil)
		end := pAligned + size
		endLen := (p + size + align) - end
		if endLen > 0 {
			sysFree(unsafe.Pointer(end), endLen, nil)
		}
		return unsafe.Pointer(pAligned), size
	}
}

",possible misuse of unsafe.Pointer,runtime
46,46,46,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,822.0,"		return unsafe.Pointer(pAligned), size
","		endLen := (p + size + align) - end
		if endLen > 0 {
			sysFree(unsafe.Pointer(end), endLen, nil)
		}
		return unsafe.Pointer(pAligned), size
	}
}

// base address for all 0-byte allocations
var zerobase uintptr
",possible misuse of unsafe.Pointer,runtime
47,47,47,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,1001.0,"				x = unsafe.Pointer(c.tiny + off)
","				off = alignUp(off, 2)
			}
			if off+size <= maxTinySize && c.tiny != 0 {
				// The object fits into existing tiny block.
				x = unsafe.Pointer(c.tiny + off)
				c.tinyoffset = off + size
				c.local_tinyallocs++
				mp.mallocing = 0
				releasem(mp)
				return x
",possible misuse of unsafe.Pointer,runtime
48,48,48,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,1014.0,"			x = unsafe.Pointer(v)
","			v := nextFreeFast(span)
			if v == 0 {
				v, _, shouldhelpgc = c.nextFree(tinySpanClass)
			}
			x = unsafe.Pointer(v)
			(*[2]uint64)(x)[0] = 0
			(*[2]uint64)(x)[1] = 0
			// See if we need to replace the existing tiny block with the new one
			// based on amount of remaining free space.
			if size < c.tinyoffset || c.tiny == 0 {
",possible misuse of unsafe.Pointer,runtime
49,49,49,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,1038.0,"			x = unsafe.Pointer(v)
","			v := nextFreeFast(span)
			if v == 0 {
				v, span, shouldhelpgc = c.nextFree(spc)
			}
			x = unsafe.Pointer(v)
			if needzero && span.needzero != 0 {
				memclrNoHeapPointers(unsafe.Pointer(v), size)
			}
		}
	} else {
",possible misuse of unsafe.Pointer,runtime
50,50,50,kubernetes/kubernetes,std,std,runtime,unsafe.Pointer,malloc.go,1040.0,"				memclrNoHeapPointers(unsafe.Pointer(v), size)
","				v, span, shouldhelpgc = c.nextFree(spc)
			}
			x = unsafe.Pointer(v)
			if needzero && span.needzero != 0 {
				memclrNoHeapPointers(unsafe.Pointer(v), size)
			}
		}
	} else {
		var s *mspan
		shouldhelpgc = true
",possible misuse of unsafe.Pointer,runtime
