,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,text,context,line_number,column,absolute_offset,match_type,context_type,file_name,file_loc,file_byte_size,package_import_path,module_path,module_version,project_name,label,label2
10,10,10,10,10,2788,var _cgo_munmap unsafe.Pointer,"var _cgo_mmap unsafe.Pointer

// _cgo_munmap is filled in by runtime/cgo when it is linked into the
// program, so it is only non-nil when using cgo.
//go:linkname _cgo_munmap _cgo_munmap
var _cgo_munmap unsafe.Pointer

// mmap is used to route the mmap system call through C code when using cgo, to
// support sanitizer interceptors. Don't allow stack splits, since this function
// (used by sysAlloc) is called in a lot of low-level parts of the runtime and
// callers often assume it won't acquire any locks.",21.0,17.0,644.0,unsafe.Pointer,variable,cgo_mmap.go,67.0,2434.0,runtime,std,std,kubernetes/kubernetes,definition,ffi
11,11,11,11,11,3131,var _p0 unsafe.Pointer,"}

// THIS FILE IS GENERATED BY THE COMMAND AT THE TOP; DO NOT EDIT

func readv(fd int, iovs []Iovec) (n int, err error) {
	var _p0 unsafe.Pointer
	if len(iovs) > 0 {
		_p0 = unsafe.Pointer(&iovs[0])
	} else {
		_p0 = unsafe.Pointer(&_zero)
	}",1598.0,10.0,39037.0,unsafe.Pointer,variable,zsyscall_linux.go,1856.0,45337.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200515095857-1151b9dac4a9,mattermost/mattermost-server,syscall,no-gc
12,12,12,12,12,3139,cid := (*[2]byte)(unsafe.Pointer(&sa.raw.Cid)),"	psm[0] = byte(sa.PSM)
	psm[1] = byte(sa.PSM >> 8)
	for i := 0; i < len(sa.Addr); i++ {
		sa.raw.Bdaddr[i] = sa.Addr[len(sa.Addr)-1-i]
	}
	cid := (*[2]byte)(unsafe.Pointer(&sa.raw.Cid))
	cid[0] = byte(sa.CID)
	cid[1] = byte(sa.CID >> 8)
	sa.raw.Bdaddr_type = sa.AddrType
	return unsafe.Pointer(&sa.raw), SizeofSockaddrL2, nil
}",505.0,20.0,13178.0,unsafe.Pointer,assignment,syscall_linux.go,2124.0,63149.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200122134326-e047566fdf82,rancher/rancher,cast-pointer,serialization
13,13,13,13,13,3145,"return ptrace(PTRACE_GETREGS, pid, 0, uintptr(unsafe.Pointer(regsout)))","func PtracePokeData(pid int, addr uintptr, data []byte) (count int, err error) {
	return ptracePoke(PTRACE_POKEDATA, PTRACE_PEEKDATA, pid, addr, data)
}

func PtraceGetRegs(pid int, regsout *PtraceRegs) (err error) {
	return ptrace(PTRACE_GETREGS, pid, 0, uintptr(unsafe.Pointer(regsout)))
}

func PtraceSetRegs(pid int, regs *PtraceRegs) (err error) {
	return ptrace(PTRACE_SETREGS, pid, 0, uintptr(unsafe.Pointer(regs)))
}",816.0,48.0,20324.0,unsafe.Pointer,assignment,syscall_linux.go,997.0,26679.0,syscall,std,std,kubernetes/kubernetes,delegate,ffi
14,14,14,14,14,3490,"_, _, e1 := RawSyscall(SYS_PIPE2, uintptr(unsafe.Pointer(p)), uintptr(flags), 0)","}

// THIS FILE IS GENERATED BY THE COMMAND AT THE TOP; DO NOT EDIT

func pipe2(p *[2]_C_int, flags int) (err error) {
	_, _, e1 := RawSyscall(SYS_PIPE2, uintptr(unsafe.Pointer(p)), uintptr(flags), 0)
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return
}",1851.0,44.0,45250.0,unsafe.Pointer,assignment,zsyscall_linux.go,1856.0,45337.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200515095857-1151b9dac4a9,mattermost/mattermost-server,syscall,no-gc
15,15,15,15,15,3499,ityp := (*interfacetype)(unsafe.Pointer(f.fint)),"				switch f.fint.kind & kindMask {
				case kindPtr:
					// direct use of pointer
					*(*unsafe.Pointer)(frame) = f.arg
				case kindInterface:
					ityp := (*interfacetype)(unsafe.Pointer(f.fint))
					// set up with empty interface
					(*eface)(frame)._type = &f.ot.typ
					(*eface)(frame).data = f.arg
					if len(ityp.mhdr) != 0 {
						// convert to interface with methods",209.0,31.0,5907.0,unsafe.Pointer,assignment,mfinal.go,453.0,15158.0,runtime,std,std,kubernetes/kubernetes,cast-struct,types
16,16,16,16,16,3844,dumpint(uint64(uintptr(unsafe.Pointer(fn.fn)))),"
func finq_callback(fn *funcval, obj unsafe.Pointer, nret uintptr, fint *_type, ot *ptrtype) {
	dumpint(tagQueuedFinalizer)
	dumpint(uint64(uintptr(obj)))
	dumpint(uint64(uintptr(unsafe.Pointer(fn))))
	dumpint(uint64(uintptr(unsafe.Pointer(fn.fn))))
	dumpint(uint64(uintptr(unsafe.Pointer(fint))))
	dumpint(uint64(uintptr(unsafe.Pointer(ot))))
}

func dumproots() {",417.0,25.0,10425.0,unsafe.Pointer,call,heapdump.go,725.0,17514.0,runtime,std,std,kubernetes/kubernetes,cast-basic,layout
17,17,17,17,17,4187,fn  unsafe.Pointer,"var cgoThreadStart unsafe.Pointer

type cgothreadstart struct {
	g   guintptr
	tls *uint64
	fn  unsafe.Pointer
}

// Allocate a new m unassociated with any thread.
// Can use p for allocation context if needed.
// fn is recorded as the new m's m.mstartfn.",1350.0,6.0,39012.0,unsafe.Pointer,variable,proc.go,5418.0,153166.0,runtime,std,std,kubernetes/kubernetes,definition,ffi
18,18,18,18,18,4530,str := (*[maxAlloc/2/2 - 1]uint16)(unsafe.Pointer(strw)),"	return s
}

func gostringw(strw *uint16) string {
	var buf [8]byte
	str := (*[maxAlloc/2/2 - 1]uint16)(unsafe.Pointer(strw))
	n1 := 0
	for i := 0; str[i] != 0; i++ {
		n1 += encoderune(buf[:], rune(str[i]))
	}
	s, b := rawstring(n1 + 4)",481.0,37.0,10773.0,unsafe.Pointer,assignment,string.go,531.0,11797.0,runtime,std,std,kubernetes/kubernetes,cast-basic,types
19,19,19,19,19,4873,"_, _, e1 := Syscall(SYS_FCHMODAT, uintptr(dirfd), uintptr(unsafe.Pointer(_p0)), uintptr(mode))","	var _p0 *byte
	_p0, err = BytePtrFromString(path)
	if err != nil {
		return
	}
	_, _, e1 := Syscall(SYS_FCHMODAT, uintptr(dirfd), uintptr(unsafe.Pointer(_p0)), uintptr(mode))
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return
}",33.0,60.0,813.0,unsafe.Pointer,assignment,zsyscall_linux_amd64.go,1715.0,41639.0,syscall,std,std,kubernetes/kubernetes,syscall,no-gc
20,20,20,20,20,5216,"err = ptrace(req, pid, addr+uintptr(n), uintptr(unsafe.Pointer(&buf[0])))","
	// Remainder.
	for len(out) > 0 {
		// We use an internal buffer to guarantee alignment.
		// It's not documented if this is necessary, but we're paranoid.
		err = ptrace(req, pid, addr+uintptr(n), uintptr(unsafe.Pointer(&buf[0])))
		if err != nil {
			return n, err
		}
		copied := copy(out, buf[0:])
		n += copied",1380.0,51.0,41028.0,unsafe.Pointer,assignment,syscall_linux.go,2100.0,62378.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200106162015-b016eb3dc98e,elastic/beats,delegate,ffi
21,21,21,21,21,5217,*(*unsafe.Pointer)(insertk) = kmem,"	}

	// store new key/elem at insert position
	if t.indirectkey() {
		kmem := newobject(t.key)
		*(*unsafe.Pointer)(insertk) = kmem
		insertk = kmem
	}
	if t.indirectelem() {
		vmem := newobject(t.elem)
		*(*unsafe.Pointer)(elem) = vmem",663.0,6.0,22042.0,unsafe.Pointer,assignment,map.go,1375.0,43146.0,runtime,std,std,kubernetes/kubernetes,memory-access,types
22,22,22,22,22,5561,"func makechan(typ *rtype, size int) (ch unsafe.Pointer)","func chanrecv(ch unsafe.Pointer, nb bool, val unsafe.Pointer) (selected, received bool)

//go:noescape
func chansend(ch unsafe.Pointer, val unsafe.Pointer, nb bool) bool

func makechan(typ *rtype, size int) (ch unsafe.Pointer)
func makemap(t *rtype, cap int) (m unsafe.Pointer)

//go:noescape
func mapaccess(t *rtype, m unsafe.Pointer, key unsafe.Pointer) (val unsafe.Pointer)
",2706.0,41.0,79336.0,unsafe.Pointer,parameter,value.go,2788.0,81958.0,reflect,std,std,kubernetes/kubernetes,definition,types
23,23,23,23,23,5904,"return unsafe.Pointer(&sa.raw), SizeofSockaddrNetlink, nil","func (sa *SockaddrNetlink) sockaddr() (unsafe.Pointer, _Socklen, error) {
	sa.raw.Family = AF_NETLINK
	sa.raw.Pad = sa.Pad
	sa.raw.Pid = sa.Pid
	sa.raw.Groups = sa.Groups
	return unsafe.Pointer(&sa.raw), SizeofSockaddrNetlink, nil
}

func anyToSockaddr(rsa *RawSockaddrAny) (Sockaddr, error) {
	switch rsa.Addr.Family {
	case AF_NETLINK:",439.0,9.0,10581.0,unsafe.Pointer,assignment,syscall_linux.go,997.0,26679.0,syscall,std,std,kubernetes/kubernetes,cast-pointer,efficiency
24,24,24,24,24,6247,_p0 = unsafe.Pointer(&iovs[0]),"// THIS FILE IS GENERATED BY THE COMMAND AT THE TOP; DO NOT EDIT

func writev(fd int, iovs []Iovec) (n int, err error) {
	var _p0 unsafe.Pointer
	if len(iovs) > 0 {
		_p0 = unsafe.Pointer(&iovs[0])
	} else {
		_p0 = unsafe.Pointer(&_zero)
	}
	r0, _, e1 := Syscall(SYS_WRITEV, uintptr(fd), uintptr(_p0), uintptr(len(iovs)))
	n = int(r0)",1617.0,9.0,39464.0,unsafe.Pointer,assignment,zsyscall_linux.go,1856.0,45337.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200515095857-1151b9dac4a9,mattermost/mattermost-server,syscall,no-gc
25,25,25,25,25,6254,"return futimesat(dirfd, path, (*[2]Timeval)(unsafe.Pointer(&tv[0])))","
func Futimesat(dirfd int, path string, tv []Timeval) (err error) {
	if len(tv) != 2 {
		return EINVAL
	}
	return futimesat(dirfd, path, (*[2]Timeval)(unsafe.Pointer(&tv[0])))
}

func Futimes(fd int, tv []Timeval) (err error) {
	// Believe it or not, this is the best we can do on Linux
	// (and is what glibc does).",208.0,46.0,5325.0,unsafe.Pointer,assignment,syscall_linux.go,997.0,26679.0,syscall,std,std,kubernetes/kubernetes,cast-struct,efficiency
26,26,26,26,26,6597,"func racereleasemerge(addr unsafe.Pointer)                                  { throw(""race"") }","func raceacquire(addr unsafe.Pointer)                                       { throw(""race"") }
func raceacquireg(gp *g, addr unsafe.Pointer)                               { throw(""race"") }
func raceacquirectx(racectx uintptr, addr unsafe.Pointer)                   { throw(""race"") }
func racerelease(addr unsafe.Pointer)                                       { throw(""race"") }
func racereleaseg(gp *g, addr unsafe.Pointer)                               { throw(""race"") }
func racereleasemerge(addr unsafe.Pointer)                                  { throw(""race"") }
func racereleasemergeg(gp *g, addr unsafe.Pointer)                          { throw(""race"") }
func racefingo()                                                            { throw(""race"") }
func racemalloc(p unsafe.Pointer, sz uintptr)                               { throw(""race"") }
func racefree(p unsafe.Pointer, sz uintptr)                                 { throw(""race"") }
func racegostart(pc uintptr) uintptr                                        { throw(""race""); return 0 }",35.0,28.0,1935.0,unsafe.Pointer,parameter,race0.go,42.0,2670.0,runtime,std,std,kubernetes/kubernetes,unused,unused
27,27,27,27,27,6940,"func StorepNoWB(ptr unsafe.Pointer, val unsafe.Pointer)","
// StorepNoWB performs *ptr = val atomically and without a write
// barrier.
//
// NO go:noescape annotation; see atomic_pointer.go.
func StorepNoWB(ptr unsafe.Pointer, val unsafe.Pointer)",92.0,21.0,1740.0,unsafe.Pointer,parameter,atomic_amd64.go,92.0,1776.0,runtime/internal/atomic,std,std,kubernetes/kubernetes,definition,efficiency
28,28,28,28,28,7627,rx := (*[4]byte)(unsafe.Pointer(&sa.RxID)),"	if sa.Ifindex < 0 || sa.Ifindex > 0x7fffffff {
		return nil, 0, EINVAL
	}
	sa.raw.Family = AF_CAN
	sa.raw.Ifindex = int32(sa.Ifindex)
	rx := (*[4]byte)(unsafe.Pointer(&sa.RxID))
	for i := 0; i < 4; i++ {
		sa.raw.Addr[i] = rx[i]
	}
	tx := (*[4]byte)(unsafe.Pointer(&sa.TxID))
	for i := 0; i < 4; i++ {",583.0,19.0,15793.0,unsafe.Pointer,assignment,syscall_linux.go,2202.0,65304.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200515095857-1151b9dac4a9,mattermost/mattermost-server,cast-bytes,serialization
29,29,29,29,29,7638,if nbitp <= uintptr(unsafe.Pointer(h.last)) {,"//go:nosplit
func (h heapBits) forward(n uintptr) heapBits {
	n += uintptr(h.shift) / heapBitsShift
	nbitp := uintptr(unsafe.Pointer(h.bitp)) + n/4
	h.shift = uint32(n%4) * heapBitsShift
	if nbitp <= uintptr(unsafe.Pointer(h.last)) {
		h.bitp = (*uint8)(unsafe.Pointer(nbitp))
		return h
	}

	// We're in a new heap arena.",497.0,22.0,17757.0,unsafe.Pointer,call,mbitmap.go,2083.0,69152.0,runtime,std,std,kubernetes/kubernetes,pointer-arithmetic,layout
30,30,30,30,30,7981,var _p0 unsafe.Pointer,"}

// THIS FILE IS GENERATED BY THE COMMAND AT THE TOP; DO NOT EDIT

func Madvise(b []byte, advice int) (err error) {
	var _p0 unsafe.Pointer
	if len(b) > 0 {
		_p0 = unsafe.Pointer(&b[0])
	} else {
		_p0 = unsafe.Pointer(&_zero)
	}",967.0,10.0,22802.0,unsafe.Pointer,variable,zsyscall_linux_amd64.go,1715.0,41639.0,syscall,std,std,kubernetes/kubernetes,syscall,no-gc
31,31,31,31,31,8324,e = *((*unsafe.Pointer)(e)),"				k = *((*unsafe.Pointer)(k))
			}
			if t.key.equal(key, k) {
				e := add(unsafe.Pointer(b), dataOffset+bucketCnt*uintptr(t.keysize)+i*uintptr(t.elemsize))
				if t.indirectelem() {
					e = *((*unsafe.Pointer)(e))
				}
				return e, true
			}
		}
	}",501.0,14.0,17680.0,unsafe.Pointer,assignment,map.go,1375.0,43146.0,runtime,std,std,kubernetes/kubernetes,pointer-arithmetic,types
32,32,32,32,32,8671,st := (*structtype)(unsafe.Pointer(t)),"		}
		if !top {
			panic(errorString(msg))
		}
	case kindStruct:
		st := (*structtype)(unsafe.Pointer(t))
		if !indir {
			if len(st.fields) != 1 {
				throw(""can't happen"")
			}
			cgoCheckArg(st.fields[0].typ, p, st.fields[0].typ.kind&kindDirectIface == 0, top, msg)",561.0,23.0,19099.0,unsafe.Pointer,assignment,cgocall.go,675.0,21888.0,runtime,std,std,kubernetes/kubernetes,cast-struct,ffi
33,33,33,33,33,9014,hdr := (*stringStruct)(unsafe.Pointer(&s)),"	}
	nl := n.nameLen()
	if nl == 0 {
		return """"
	}
	hdr := (*stringStruct)(unsafe.Pointer(&s))
	hdr.str = unsafe.Pointer(n.data(3))
	hdr.len = nl
	return s
}
",475.0,25.0,12195.0,unsafe.Pointer,assignment,type.go,726.0,18709.0,runtime,std,std,kubernetes/kubernetes,cast-header,efficiency
34,34,34,34,34,9357,"_, _, e1 := Syscall(SYS_ACCT, uintptr(unsafe.Pointer(_p0)), 0, 0)","	var _p0 *byte
	_p0, err = BytePtrFromString(path)
	if err != nil {
		return
	}
	_, _, e1 := Syscall(SYS_ACCT, uintptr(unsafe.Pointer(_p0)), 0, 0)
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return
}",394.0,40.0,10097.0,unsafe.Pointer,assignment,zsyscall_linux_amd64.go,2558.0,63399.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200106162015-b016eb3dc98e,elastic/beats,syscall,no-gc
35,35,35,35,35,9358,p := (*[2]byte)(unsafe.Pointer(&sa.raw.Port)),"func (sa *SockaddrInet4) sockaddr() (unsafe.Pointer, _Socklen, error) {
	if sa.Port < 0 || sa.Port > 0xFFFF {
		return nil, 0, EINVAL
	}
	sa.raw.Family = AF_INET
	p := (*[2]byte)(unsafe.Pointer(&sa.raw.Port))
	p[0] = byte(sa.Port >> 8)
	p[1] = byte(sa.Port)
	for i := 0; i < len(sa.Addr); i++ {
		sa.raw.Addr[i] = sa.Addr[i]
	}",349.0,18.0,8454.0,unsafe.Pointer,assignment,syscall_linux.go,997.0,26679.0,syscall,std,std,kubernetes/kubernetes,cast-bytes,serialization
36,36,36,36,36,9701,var _p2 unsafe.Pointer,"	var _p1 *byte
	_p1, err = BytePtrFromString(attr)
	if err != nil {
		return
	}
	var _p2 unsafe.Pointer
	if len(dest) > 0 {
		_p2 = unsafe.Pointer(&dest[0])
	} else {
		_p2 = unsafe.Pointer(&_zero)
	}",894.0,10.0,21993.0,unsafe.Pointer,variable,zsyscall_linux_amd64.go,2558.0,63399.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200106162015-b016eb3dc98e,elastic/beats,syscall,no-gc
37,37,37,37,37,9703,var _p0 unsafe.Pointer,"}

// THIS FILE IS GENERATED BY THE COMMAND AT THE TOP; DO NOT EDIT

func Pwrite(fd int, p []byte, offset int64) (n int, err error) {
	var _p0 unsafe.Pointer
	if len(p) > 0 {
		_p0 = unsafe.Pointer(&p[0])
	} else {
		_p0 = unsafe.Pointer(&_zero)
	}",2082.0,10.0,50703.0,unsafe.Pointer,variable,zsyscall_linux_amd64.go,2560.0,63453.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200122134326-e047566fdf82,rancher/rancher,syscall,no-gc
38,38,38,38,38,9716,"func getsockopt(s int, level int, name int, val unsafe.Pointer, vallen *_Socklen) (err error) {","	return
}

// THIS FILE IS GENERATED BY THE COMMAND AT THE TOP; DO NOT EDIT

func getsockopt(s int, level int, name int, val unsafe.Pointer, vallen *_Socklen) (err error) {
	_, _, e1 := Syscall6(SYS_GETSOCKOPT, uintptr(s), uintptr(level), uintptr(name), uintptr(val), uintptr(unsafe.Pointer(vallen)), 0)
	if e1 != 0 {
		err = errnoErr(e1)
	}
	return",541.0,49.0,13433.0,unsafe.Pointer,parameter,zsyscall_linux_amd64.go,745.0,19148.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200420163511-1957bb5e6d1f,cilium/cilium,syscall,no-gc
39,39,39,39,39,9724,fds[j] = int(*(*int32)(unsafe.Pointer(&m.Data[i]))),"	if m.Header.Type != SCM_RIGHTS {
		return nil, EINVAL
	}
	fds := make([]int, len(m.Data)>>2)
	for i, j := 0, 0; i < len(m.Data); i += 4 {
		fds[j] = int(*(*int32)(unsafe.Pointer(&m.Data[i])))
		j++
	}
	return fds, nil
}",88.0,26.0,2559.0,unsafe.Pointer,assignment,sockcmsg_unix.go,92.0,2616.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200122134326-e047566fdf82,rancher/rancher,cast-basic,efficiency
40,40,40,40,40,9730,_p1 = unsafe.Pointer(&buf[0]),"	if err != nil {
		return
	}
	var _p1 unsafe.Pointer
	if len(buf) > 0 {
		_p1 = unsafe.Pointer(&buf[0])
	} else {
		_p1 = unsafe.Pointer(&_zero)
	}
	r0, _, e1 := Syscall6(SYS_READLINKAT, uintptr(dirfd), uintptr(unsafe.Pointer(_p0)), uintptr(_p1), uintptr(len(buf)), 0, 0)
	n = int(r0)",118.0,9.0,3054.0,unsafe.Pointer,assignment,zsyscall_linux_amd64.go,2558.0,63399.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200106162015-b016eb3dc98e,elastic/beats,syscall,no-gc
41,41,41,41,41,9731,"func msanwrite(addr unsafe.Pointer, sz uintptr)  { throw(""msan"") }","const msanenabled = false

// Because msanenabled is false, none of these functions should be called.

func msanread(addr unsafe.Pointer, sz uintptr)   { throw(""msan"") }
func msanwrite(addr unsafe.Pointer, sz uintptr)  { throw(""msan"") }
func msanmalloc(addr unsafe.Pointer, sz uintptr) { throw(""msan"") }
func msanfree(addr unsafe.Pointer, sz uintptr)   { throw(""msan"") }",20.0,21.0,466.0,unsafe.Pointer,parameter,msan0.go,22.0,647.0,runtime,std,std,kubernetes/kubernetes,unused,unused
42,42,42,42,42,10074,"func selectnbrecv2(elem unsafe.Pointer, received *bool, c *hchan) (selected bool) {","//		... foo
//	} else {
//		... bar
//	}
//
func selectnbrecv2(elem unsafe.Pointer, received *bool, c *hchan) (selected bool) {
	// TODO(khr): just return 2 values from this function, now that it is in Go.
	selected, *received = chanrecv(c, elem, false)
	return
}
",667.0,25.0,17571.0,unsafe.Pointer,parameter,chan.go,772.0,20178.0,runtime,std,std,kubernetes/kubernetes,delegate,types
43,43,43,43,43,10417,"func (sa *SockaddrHCI) sockaddr() (unsafe.Pointer, _Socklen, error) {","	Dev     uint16
	Channel uint16
	raw     RawSockaddrHCI
}

func (sa *SockaddrHCI) sockaddr() (unsafe.Pointer, _Socklen, error) {
	sa.raw.Family = AF_BLUETOOTH
	sa.raw.Dev = sa.Dev
	sa.raw.Channel = sa.Channel
	return unsafe.Pointer(&sa.raw), SizeofSockaddrHCI, nil
}",480.0,36.0,12472.0,unsafe.Pointer,parameter,syscall_linux.go,2202.0,65304.0,golang.org/x/sys/unix,golang.org/x/sys,v0.0.0-20200515095857-1151b9dac4a9,mattermost/mattermost-server,cast-pointer,efficiency
